imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.004006028175354004, 0.005883753299713135, -0.0038148334354762173, -3.371613111502092e-12, -9.061362079515952e-06, 3.720867880474543e-07, 9.061362079515957e-06, 0.0, -2.0703444292280437e-08, 2.4022721589744833e-08, 1731685849798129547, 
0.001217961311340332, -0.01754230260848999, 0.0007971253521443264, -5.164998281228144e-12, -2.9223826098458236e-05, 1.767392901883109e-07, 1.146335029948658e-05, 3.74696687794379e-14, -2.0703444292280437e-08, 2.4022721589744833e-08, 1731685849821655736, 
-0.009688317775726318, -0.024435043334960938, -0.008808352165357428, 7.498560787689846e-09, 3.03270699767575e-05, 0.0002472563552442323, 9.295141005499906e-06, -9.648076180996121e-13, 1.387144266118412e-06, -1.609511969036248e-06, 1731685849858065753, 
0.006109297275543213, 0.004507005214691162, 0.004862197863719159, -0.00028305712910807495, 0.0060285950830374566, -0.0469524201259606, 7.439776205236918e-05, 4.382402093493756e-11, 0.0003387535107322037, -5.838481229147874e-06, 1731685849888035247, 
-0.013815104961395264, -0.004518449306488037, -0.012224049942523478, -0.012242079146754448, 0.03974325116753069, -0.3080291316669116, 0.000982817007525962, -4.801437832219207e-07, 0.002468699589371681, -0.0001945188851095736, 1731685849917991058, 
1.6910533905029297, -0.356151282787323, 1.5481866644605857, -0.08465537495798049, 0.1543373690880209, -0.5485086046121486, 0.005894143804048666, -3.753802104047078e-05, 0.005668957252055407, -0.0006028964999131858, 1731685849948505274, 
0.5323194861412048, -0.011237263679504395, 0.6174171511499428, -0.05558669541581359, 0.08501144219768397, -0.65387310200612, 0.01947424219265433, -0.0005941249599101272, 0.00977347046136856, -0.0009088914375752211, 1731685850068032419, 
1.2388113737106323, -0.5241168737411499, 1.186778090170403, -0.25527621211658125, 0.30936920358636194, -0.8251506910102628, 0.028992671439417004, -0.0015104993100711873, 0.018435684964060783, -0.0019403038313612342, 1731685850157749224, 
0.6496476531028748, -0.7883957624435425, 0.6947318783547707, -0.4710939291025249, 0.4343404705552875, -1.084619005224748, 0.05949568835299966, -0.006539702500273644, 0.022767242044210434, -0.0027331484016031027, 1731685850277485193, 
0.35538429021835327, -0.6973221302032471, 0.38377452670169804, -0.5623187629268461, 0.376346687685966, -1.4941509552916812, 0.1004160604758083, -0.01692670816839542, 0.05481085926294327, -0.01111314631998539, 1731685850367372941, 
0.169408917427063, -0.13606107234954834, 0.18720538679918522, -0.22189463749496405, 0.15106873407881738, -1.4688323090017723, 0.13449522380914855, -0.02977356062993483, 0.0781412422657013, -0.021243005990982056, 1731685850457294930, 
-0.031207025051116943, -0.7576581239700317, -0.012684831317965911, -0.6427178657882731, 0.42629197991690565, -1.5076940127129623, 0.14837636882714603, -0.0375291392443536, 0.1028367280960083, -0.03774179890751839, 1731685850577081734, 
-0.15797722339630127, -0.7831109166145325, -0.14575037270776553, -0.6522003481799662, 0.4699007567349725, -1.3879533898001617, 0.18232300429791876, -0.06368823977528187, 0.12184906005859375, -0.05436558648943901, 1731685850669949289, 
-0.6061756014823914, -0.582192063331604, -0.5675681743321599, -0.508689589589714, 0.41157253184788234, -1.2359658388906436, 0.2149259367585939, -0.09767861006965213, 0.1416323333978653, -0.07651416212320328, 1731685850756852695, 
0.43950527906417847, -0.11149579286575317, 0.3548628961382746, -0.21955225344051707, 0.19098513402109757, -1.1495777122436335, 0.2387905584583987, -0.13062627125250306, 0.15841826796531677, -0.10087598860263824, 1731685850846722962, 
-0.34381479024887085, -0.03073650598526001, -0.2852515425255846, -0.16067143603582965, 0.1245797803456871, -1.2897071706981222, 0.24769632222527146, -0.14680315550559525, 0.17072473466396332, -0.12334582209587097, 1731685850976568836, 
0.3974834084510803, -0.5338873267173767, 0.34038282352303784, -0.44440555805557275, 0.36507503455614126, -1.217299228899291, 0.2528539814990111, -0.15942283447405825, 0.18113970756530762, -0.15010331571102142, 1731685851069581157, 
-0.44749391078948975, -0.6532306671142578, -0.38128079551471683, -0.4646395119499614, 0.521385912845954, -0.8911623818406489, 0.2623984952978743, -0.19533942247552855, 0.19028817117214203, -0.18720977008342743, 1731685851156335154, 
-0.2723509669303894, -0.47597581148147583, -0.2815186175150034, -0.36270546685114546, 0.4497356923575623, -0.8064858382704848, 0.26970494630228, -0.24694267328341876, 0.19554206728935242, -0.2215718775987625, 1731685851246234663, 
-0.0007249712944030762, -0.7296684980392456, -0.024194188326292887, -0.46695101694056856, 0.5533761415241485, -0.8438220983912649, 0.2720867996203936, -0.2925184077967477, 0.19872811436653137, -0.26022669672966003, 1731685851366030420, 
-0.42853158712387085, -0.8556638956069946, -0.3945528778111787, -0.5498626087974815, 0.6110654490133877, -0.8998424140741015, 0.2704993549200329, -0.34812011487830524, 0.1990772932767868, -0.293205589056015, 1731685851455996816, 
0.35410135984420776, 0.11706531047821045, 0.29102168832111414, -0.14266150642926284, 0.2357558229610257, -0.6051239992186624, 0.26376050014676417, -0.4073689757155745, 0.19708985090255737, -0.32555052638053894, 1731685851547907335, 
-0.2011212706565857, 0.17847388982772827, -0.15987536398835195, -0.10761668621186513, 0.18633876057312404, -0.5775324783789877, 0.2591132995134578, -0.43009485871520137, 0.1926015466451645, -0.3597174286842346, 1731685851677399819, 
0.296658456325531, -0.2569662928581238, 0.2584765373074034, -0.19998848067784722, 0.35466314295355517, -0.5638828974795294, 0.25396552808782363, -0.4493064459920276, 0.18525941669940948, -0.3963492214679718, 1731685851765549467, 
